"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3486","Verify key page sections are present in the DOM -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3591","Image grid client tiles basic content and accessibility -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3906","The 3 most recent blog cards have a working ""Read more"" link -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3595","Verify Process section content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","6102","Verify hero image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3580","Image grid client tiles basic content and accessibility -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","6609","Topics list renders all category filter links -- @1.7 ","","2026-09-15","passed","2026-09-15","","","",""
"","3719","Guide card grid renders at least the minimum expected number of articles -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3614","Sector expertise list renders numbered sector titles -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3642","Verify leaders section content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3574","Footer displays complete office details -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3498","Feature block imagery","","2026-09-15","passed","2026-09-15","","","",""
"","3986","Verify key page sections are present in the DOM -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3589","Sector expertise list renders numbered sector titles -- @1.8 ","","2026-09-15","passed","2026-09-15","","","",""
"","3577","CTA block content and button behaviour -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3594","Sector expertise list renders numbered sector titles -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3575","Sector expertise list renders numbered sector titles -- @1.6 ","","2026-09-15","passed","2026-09-15","","","",""
"","6035","Verify hero image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3588","Testimonials section heading and intro -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3632","Header adapts to responsive breakpoints -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3512","Individual testimonial contents -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3542","Verify final CTA content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3611","Verify final CTA content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3552","Blog card grid renders at least the minimum expected number of articles -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3546","Strategic advantage list has the expected benefits -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3863","Verify hero content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6146","Verify enterprise challenges image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3519","Verify key page sections are present in the DOM -- @1.7 ","","2026-09-15","passed","2026-09-15","","","",""
"","3496","Image grid client tiles link targets for tiles with links -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3586","Enterprise challenges list has the expected items -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3528","CTA block content and button behaviour -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3599","Image grid client tiles basic content and accessibility -- @1.7 ","","2026-09-15","passed","2026-09-15","","","",""
"","3569","Client experience grid renders the expected number of brand tiles -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3612","Display of feature block content and CTA -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3502","Verify key page sections are present in the DOM -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3543","Verify final CTA content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3648","Verify ""Get in touch"" content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3646","Verify hero content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6187","Verify hero image visibility on desktop -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","4822","The Unipro Difference section provides a working Contact Us call to action -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","4082","Accreditations image grid renders and images load -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3567","Client experience grid renders the expected number of brand tiles -- @1.11 ","","2026-09-15","passed","2026-09-15","","","",""
"","3659","Verify strategic advantage content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","4008","Tooling image grid renders and images load -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3597","Culture grid items - titles present -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6174","Verify hero image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3616","Verify hero content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3822","Verify key page sections are present in the DOM -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3724","Display of image grid heading content -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3554","Verify hero content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3670","Verify Accreditations section content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3507","Verify key page sections are present in the DOM -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","3643","Verify Our Promise section content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6168","Build vs Buy image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3554","Verify hero content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6041","Verify hero image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3567","Client experience grid renders the expected number of brand tiles -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3626","Verify enterprise challenges section content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3597","Sector expertise list renders numbered sector titles -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","8305","Navigation menu items redirect correctly -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","4247","Client image variants are visible at the correct breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6124","Verify hero image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6492","Topics list renders all category filter links -- @1.6 ","","2026-09-15","passed","2026-09-15","","","",""
"","3599","Verify final CTA content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","4975","Sub menu bar contact CTA is present and navigates correctly -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","4956","The 3 most recent blog cards have a working ""Read more"" link -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","4037","The most recent guide cards have a working ""Read more"" link -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3574","Event category lists render at least one upcoming event -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3521","Verify key page sections are present in the DOM -- @1.6 ","","2026-09-15","passed","2026-09-15","","","",""
"","4896","The most recent success story cards have a working ""Read more"" link -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3631","Verify Our Promise section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","8123","Navigation menu items redirect correctly -- @1.7 ","","2026-09-15","passed","2026-09-15","","","",""
"","3522","Verify key page sections are present in the DOM -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","3616","Verify final CTA section content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3566","Strategic advantage list has the expected benefits -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","5145","Footer policy links navigate to the correct destinations -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6038","Verify hero image visibility on Desktop -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3552","Testimonials section heading and intro -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","5823","Topics list renders all category filter links -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","3599","Culture section container and copy presence -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","5782","Submitting a search term navigates to the filtered results -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3642","CTA block content and button behaviour -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","4213","Verify Our Promise section content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","6557","Process section image visibility and loading by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3633","Sector expertise list renders numbered sector titles -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3632","Team section container, headings, and intro presence -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3613","Verify hero content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3519","Display of ""why"" content block (presence + partial content) -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3690","Verify final CTA content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3583","Verify key page sections are present in the DOM -- @1.6 ","","2026-09-15","passed","2026-09-15","","","",""
"","3644","Verify hero content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","4769","Verify ""Contact Us"" section CTA redirect -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3609","Verify hero content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3619","Verify breadcrumb content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3564","Verify final CTA content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3564","Verify hero content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3588","Footer displays complete office details -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3676","Verify Testimonials section content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3601","Verify Process section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","4842","Final CTA button navigates to the contact page -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3568","Culture grid items - titles present -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","6201","Topics list renders all category filter links -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","6437","Topics list renders all category filter links -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3578","Client experience grid renders the expected number of brand tiles -- @1.10 ","","2026-09-15","passed","2026-09-15","","","",""
"","5835","Topics list renders all category filter links -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6052","Verify hero image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3703","Verify breadcrumb content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6056","Process section image visibility and loading by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3567","Enterprise challenges list has the expected items -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3634","Individual testimonial contents -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3607","Verify hero content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","7771","Topics list renders all category filter links -- @1.7 ","","2026-09-15","passed","2026-09-15","","","",""
"","2705","Verify key page sections are present in the DOM -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3596","Verify key page sections are present in the DOM -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","3583","Verify Tooling section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3986","Strategic advantage list has the expected benefits -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3623","Verify Accreditations section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3611","Team section container, headings, and intro presence -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3525","Verify key page sections are present in the DOM -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3076","Verify key page sections are present in the DOM -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6283","Verify hero image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3482","Validate existence of key structural containers in the hero section -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3592","Verify final CTA content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3648","Enterprise challenges list has the expected items -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3699","Verify key page sections are present in the DOM -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3581","Verify final CTA content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","4205","Testimonials block renders cards with quotes -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6255","Verify leaders image visibility by breakpoint -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","4851","Final CTA button navigates to the contact page -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3607","Verify Build vs Buy section content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3528","Culture grid has exactly 4 principles","","2026-09-15","passed","2026-09-15","","","",""
"","3073","Validate existence of key structural containers in the hero section -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3575","Verify Build vs Buy section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6218","Verify leaders image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3589","Verify ""Get in touch"" content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","5999","Verify hero image visibility on Mobile -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3589","Display of ""why"" content block (presence + partial content) -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","6008","Verify hero image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3539","Verify ""Join us"" heading and event category labels -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3564","Verify ""Join us"" heading and event category labels -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3569","Verify key page sections are present in the DOM -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","3646","Our Promise benefit list items - titles and copy present -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3607","Verify hero content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","4141","Testimonials block renders cards with quotes -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","8111","Navigation menu items redirect correctly -- @1.6 ","","2026-09-15","passed","2026-09-15","","","",""
"","3836","Verify key page sections are present in the DOM -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6149","Verify hero image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6672","Topics list renders all category filter links -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","4261","Image grid responsive imagery behaviour -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6476","Topics list renders all category filter links -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3638","Verify client experience content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3542","Verify key page sections are present in the DOM -- @1.5 ","","2026-09-15","passed","2026-09-15","","","",""
"","5066","Verify ""feature"" section CTA redirect -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3627","Verify sector expertise content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","4122","Verify enterprise challenges section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3849","Verify key page sections are present in the DOM -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","5051","Final CTA section provides a working Contact Us call to action -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3570","Verify breadcrumb content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3578","Testimonials section decorative icon","","2026-09-15","passed","2026-09-15","","","",""
"","3622","Verify Testimonials section content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3610","Display of feature block content and CTA -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3518","CTA block content and button behaviour -- @1.4 ","","2026-09-15","passed","2026-09-15","","","",""
"","3532","Verify client experience content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3594","Verify final CTA content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","6101","Build vs Buy image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3548","Display of image grid heading content -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3574","Sector expertise list renders numbered sector titles -- @1.7 ","","2026-09-15","passed","2026-09-15","","","",""
"","3593","Verify sector expertise content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","4287","Client image variants are visible at the correct breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3706","Verify featured post presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3620","Verify breadcrumb content presence and partial copy -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","3539","Verify strategic advantage content presence and partial copy -- @1.2 ","","2026-09-15","passed","2026-09-15","","","",""
"","3611","Verify final CTA content presence and partial copy -- @1.3 ","","2026-09-15","passed","2026-09-15","","","",""
"","3522","Image grid client tiles link targets for tiles with links -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6139","Verify hero image visibility by breakpoint -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
"","6927","Featured post CTA links to the latest article -- @1.1 ","","2026-09-15","passed","2026-09-15","","","",""
